58053.8741	RA= 0.363525554	DEC= 0.185166843	vx(km/s)= 42.6630403	vy(km/s)= 1.62785548	vz(km/s)= 16.1546986
58053.875	RA= 0.363520567	DEC= 0.18516987	vx(km/s)= 42.6630403	vy(km/s)= 1.62785548	vz(km/s)= 16.1546986
58053.8768	RA= 0.363510529	DEC= 0.185175964	vx(km/s)= 42.6630403	vy(km/s)= 1.62785548	vz(km/s)= 16.1546986
58053.8856	RA= 0.36346214	DEC= 0.185205342	vx(km/s)= 42.6630403	vy(km/s)= 1.62785548	vz(km/s)= 16.1546986
58053.8874	RA= 0.363452106	DEC= 0.185211433	vx(km/s)= 42.6630403	vy(km/s)= 1.62785548	vz(km/s)= 16.1546986
58053.8893	RA= 0.363441944	DEC= 0.185217602	vx(km/s)= 42.6630403	vy(km/s)= 1.62785548	vz(km/s)= 16.1546986
58053.9071	RA= 0.363343686	DEC= 0.185277252	vx(km/s)= 42.6630403	vy(km/s)= 1.62785548	vz(km/s)= 16.1546986
58054.0456	RA= 0.36258066	DEC= 0.185740359	vx(km/s)= 42.6177048	vy(km/s)= 1.6106837	vz(km/s)= 16.1457145
58054.1903	RA= 0.361787796	DEC= 0.186221387	vx(km/s)= 42.6177048	vy(km/s)= 1.6106837	vz(km/s)= 16.1457145
58054.2015	RA= 0.361726616	DEC= 0.186258496	vx(km/s)= 42.6177048	vy(km/s)= 1.6106837	vz(km/s)= 16.1457145
58054.2081	RA= 0.361690564	DEC= 0.186280363	vx(km/s)= 42.6177048	vy(km/s)= 1.6106837	vz(km/s)= 16.1457145
58054.2192	RA= 0.361630115	DEC= 0.186317027	vx(km/s)= 42.6177048	vy(km/s)= 1.6106837	vz(km/s)= 16.1457145
58055.2886	RA= 0.355888881	DEC= 0.189794055	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.2973	RA= 0.355842591	DEC= 0.189822047	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.3033	RA= 0.355811087	DEC= 0.189841098	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.305	RA= 0.355802174	DEC= 0.189846488	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.3099	RA= 0.355776171	DEC= 0.189862211	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.312	RA= 0.355765185	DEC= 0.189868855	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.3167	RA= 0.355740469	DEC= 0.1898838	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.3284	RA= 0.355678481	DEC= 0.189921281	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.3351	RA= 0.355643471	DEC= 0.18994245	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58055.3373	RA= 0.355631884	DEC= 0.189949456	vx(km/s)= 42.3518328	vy(km/s)= 1.51113575	vz(km/s)= 16.0924146
58056.1692	RA= 0.351305921	DEC= 0.192562126	vx(km/s)= 42.1802186	vy(km/s)= 1.44792634	vz(km/s)= 16.0574569
58056.1746	RA= 0.351278421	DEC= 0.192578716	vx(km/s)= 42.1802186	vy(km/s)= 1.44792634	vz(km/s)= 16.0574569
58056.182	RA= 0.351240356	DEC= 0.192601678	vx(km/s)= 42.1802186	vy(km/s)= 1.44792634	vz(km/s)= 16.0574569
58056.1872	RA= 0.351213758	DEC= 0.192617723	vx(km/s)= 42.1802186	vy(km/s)= 1.44792634	vz(km/s)= 16.0574569
58056.2909	RA= 0.350682518	DEC= 0.192938138	vx(km/s)= 42.1379936	vy(km/s)= 1.43249938	vz(km/s)= 16.0487893
58056.2946	RA= 0.350663406	DEC= 0.192949664	vx(km/s)= 42.1379936	vy(km/s)= 1.43249938	vz(km/s)= 16.0487893
58066.1043	RA= 0.307116153	DEC= 0.218895008	vx(km/s)= 40.3503325	vy(km/s)= 0.824312335	vz(km/s)= 15.6580523
58066.1249	RA= 0.307036626	DEC= 0.218941791	vx(km/s)= 40.3503325	vy(km/s)= 0.824312335	vz(km/s)= 15.6580523
58066.1476	RA= 0.306949017	DEC= 0.218993326	vx(km/s)= 40.3503325	vy(km/s)= 0.824312335	vz(km/s)= 15.6580523
58067.1613	RA= 0.303090497	DEC= 0.221260321	vx(km/s)= 40.1941524	vy(km/s)= 0.77530458	vz(km/s)= 15.6217314
58067.169	RA= 0.303061414	DEC= 0.221277389	vx(km/s)= 40.1941524	vy(km/s)= 0.77530458	vz(km/s)= 15.6217314
58067.1754	RA= 0.303037638	DEC= 0.221291341	vx(km/s)= 40.1941524	vy(km/s)= 0.77530458	vz(km/s)= 15.6217314
58068.0977	RA= 0.299614952	DEC= 0.223297721	vx(km/s)= 40.0420419	vy(km/s)= 0.728204867	vz(km/s)= 15.5860231
58068.1047	RA= 0.299589061	DEC= 0.223312883	vx(km/s)= 40.0420419	vy(km/s)= 0.728204867	vz(km/s)= 15.5860231
58068.1639	RA= 0.299372398	DEC= 0.223439746	vx(km/s)= 40.0420419	vy(km/s)= 0.728204867	vz(km/s)= 15.5860231
58068.1686	RA= 0.299355194	DEC= 0.223449819	vx(km/s)= 40.0420419	vy(km/s)= 0.728204867	vz(km/s)= 15.5860231
58068.1709	RA= 0.299346508	DEC= 0.223454904	vx(km/s)= 40.0420419	vy(km/s)= 0.728204867	vz(km/s)= 15.5860231
58068.1733	RA= 0.29933795	DEC= 0.223459915	vx(km/s)= 40.0420419	vy(km/s)= 0.728204867	vz(km/s)= 15.5860231
58069.1612	RA= 0.295766528	DEC= 0.225548595	vx(km/s)= 39.8938361	vy(km/s)= 0.682911931	vz(km/s)= 15.550915
58069.1748	RA= 0.295717979	DEC= 0.225576955	vx(km/s)= 39.8938361	vy(km/s)= 0.682911931	vz(km/s)= 15.550915
58069.1983	RA= 0.295633896	DEC= 0.225626073	vx(km/s)= 39.8938361	vy(km/s)= 0.682911931	vz(km/s)= 15.550915
58072.306	RA= 0.284961527	DEC= 0.231839167	vx(km/s)= 39.4440526	vy(km/s)= 0.54905507	vz(km/s)= 15.4424615
58072.3093	RA= 0.284950735	DEC= 0.231845428	vx(km/s)= 39.4440526	vy(km/s)= 0.54905507	vz(km/s)= 15.4424615
58072.3125	RA= 0.284939982	DEC= 0.231851667	vx(km/s)= 39.4440526	vy(km/s)= 0.54905507	vz(km/s)= 15.4424615
58072.3158	RA= 0.284929153	DEC= 0.23185795	vx(km/s)= 39.4440526	vy(km/s)= 0.54905507	vz(km/s)= 15.4424615
58073.2075	RA= 0.282012384	DEC= 0.233548593	vx(km/s)= 39.3370618	vy(km/s)= 0.518009553	vz(km/s)= 15.4162426
58073.2107	RA= 0.282001857	DEC= 0.233554689	vx(km/s)= 39.3370618	vy(km/s)= 0.518009553	vz(km/s)= 15.4162426
58073.214	RA= 0.281991294	DEC= 0.233560806	vx(km/s)= 39.3370618	vy(km/s)= 0.518009553	vz(km/s)= 15.4162426
58073.2172	RA= 0.281980769	DEC= 0.2335669	vx(km/s)= 39.3370618	vy(km/s)= 0.518009553	vz(km/s)= 15.4162426
